Entity ID,Entity Name
489,Boys Town
490,The Citadel
491,Four Daughters
492,Test Pilot
493,Block-Heads
494,Blockade
495,Breaking the Ice
496,The Cowboy and the Lady
497,Pacific Liner
498,Girls' School
499,Storm over Bengal
500,Sweethearts
501,There Goes My Heart
502,Tropic Holiday
503,Mannequin
504,Under Western Stars
505,Going Places
506,The Lady Objects
507,That Certain Age
508,The Big Broadcast of 1938
509,Grand Illusion
510,Pygmalion
511,Brave Little Tailor
512,Ferdinand the Bull
513,Good Scouts
514,Hunky and Spunky
515,Mother Goose Goes Hollywood
516,The Great Heart
517,That Mothers Might Live
518,Timber Toppers
519,Declaration of Independence
520,Swingtime in the Movies
521,They're Always Caught
522,"To Deanna Durbin and Mickey Rooney for their significant contribution in bringing to the screen the spirit and personification of youth, and as juvenile players setting a high standard of ability and achievement."
523,To Harry M. Warner in recognition of patriotic service in the production of historical short subjects presenting significant episodes in the early struggle of the American people for liberty.
524,"To Walt Disney for Snow White and the Seven Dwarfs , recognized as a significant screen innovation which has charmed millions and pioneered a great new entertainment field for the motion picture cartoon."
525,"To Oliver Marsh and Allen Davey for the color cinematography of the Metro-Goldwyn-Mayer production, Sweethearts ."
526,"For outstanding achievement in creating Special Photographic and Sound Effects in the Paramount production, Spawn of the North .  Special Effects by Gordon Jennings, assisted by Jan Domela, Dev Jennings, Irmin Roberts and Art Smith.  Transparencies by Farciot Edouart, assisted by Loyal Griggs.  Sound Effects by Loren Ryder, assisted by Harry Mills, Louis H. Mesenkop and Walter Oberst."
527,To J. Arthur Ball for his outstanding contributions to the advancement of color in Motion Picture Photography.
528,Samuel Goldwyn
529,Joe Pasternak
530,David O. Selznick
531,Hunt Stromberg
532,Hal B. Wallis
533,Walter Wanger
534,To JOHN AALBERG and the RKO RADIO STUDIO SOUND DEPARTMENT for the application of compression to variable area recording in motion picture production.
535,To BYRON HASKIN and the SPECIAL EFFECTS DEPARTMENT OF WARNER BROS. STUDIO for pioneering the development and for the first practical application to motion picture production of the triple head background projector.
536,Laurence Olivier
537,Mickey Rooney
538,James Stewart
539,Brian Aherne
540,Harry Carey
541,Brian Donlevy
542,Claude Rains
543,Greer Garson
544,Vivien Leigh
545,Olivia de Havilland
546,Geraldine Fitzgerald
547,Hattie McDaniel
548,Edna May Oliver
549,Beau Geste
550,Captain Fury
551,First Love
552,Gone with the Wind
553,Love Affair
554,Man of Conquest
555,Mr. Smith Goes to Washington
556,The Private Lives of Elizabeth and Essex
557,The Rains Came
558,Stagecoach
559,The Wizard of Oz
560,Wuthering Heights
561,The Great Victor Herbert
562,Gunga Din
563,Intermezzo
564,Juarez
565,Lady of the Tropics
566,Of Mice and Men
567,Only Angels Have Wings
568,Drums along the Mohawk
569,Four Feathers
570,The Mikado
571,"Goodbye, Mr. Chips"
572,Dark Victory
573,Eternally Yours
574,Golden Boy
575,Gulliver's Travels
576,The Man in the Iron Mask
577,Nurse Edith Cavell
578,Babes in Arms
579,The Hunchback of Notre Dame
580,She Married a Cop
581,Swanee River
582,They Shall Have Music
583,Way Down South
584,Second Fiddle
585,Ninotchka
586,Detouring America
587,Peace on Earth
588,The Pointer
589,The Ugly Duckling
590,Busy Little Bears
591,Information Please
592,Prophet without Honor
593,Sword Fishing
594,Drunk Driving
595,Five Times Five
596,Sons of Liberty
597,Balalaika
598,When Tomorrow Comes
599,Topper Takes a Trip
600,Union Pacific
601,Bachelor Mother
602,Young Mr. Lincoln
603,"To Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks, first President of the Academy, to the international development of the motion picture."
